'Teste', 'Agente', 'Tipo','N maq', 'Tam Net','Max Prod', 'Media Prod','Var Prod','Max Rec',  'Media Rec', 'Var Rec','Max Wp1',  'Media Wp1', 'Var Wp1',\'Max Wp2',  'Media Wp2', 'Var Wp2','Var act1', 'Var ac2'
50,PPO,SA,2,32,91.12248229980469,88.51075870212705,61.71055540109159,100.0,4.481412094348911,9.103028102793505,1.0,0.7307284903824329,0.00015119873746035275,0.9983118176460266,0.9183955744206905,2.8327009195144908e-05,0.0,0.0
5,A2C,SA,2,64,90.88433837890625,87.55659965894509,79.48740865160113,100.0,4.3413525887991655,9.43762237143449,1.0,0.729060432434082,0.00021875015961765983,0.9980323314666748,0.9187438588440419,2.3349877601998183e-05,0.03329369797859692,0.03329369797859692
10,A2C,SA,2,64,91.17132568359375,88.5702932449295,61.7055428061469,100.0,4.434991026538303,9.074571132900402,1.0,0.7312073305249214,0.0001504041505541536,0.9980332851409912,0.918998235732317,2.6712003792164226e-05,0.0,0.0
15,A2C,SA,2,64,91.08912658691406,88.42277476574289,62.106422419471556,100.0,4.398159882980401,9.242825686973676,1.0,0.7300333579778672,0.000154428400308676,0.9980329275131226,0.9174745663404464,2.4405540628913244e-05,0.0,0.0
20,A2C,SA,2,64,91.21887969970703,88.51384106997786,62.27017389925596,100.0,4.406328954379717,9.288590710342946,1.0,0.7307616285383701,0.00015583007264072612,0.9983100295066833,0.9185275637805462,2.7125603136828294e-05,0.0,0.0
25,A2C,SA,2,64,91.0918960571289,88.53093170297556,61.70511136803953,100.0,4.434249653302688,9.373796885169504,1.0,0.7310312274098396,0.00014561250622315916,0.9980319738388062,0.9186601652503014,2.6922200225326777e-05,0.0,0.0
30,A2C,SA,2,64,91.16375732421875,88.50017608659736,62.00463884229255,100.0,4.4292384536935945,9.22990218603362,1.0,0.7306447528600692,0.0001538189418486651,0.9980329871177673,0.9183226593732834,2.545112822490837e-05,0.0,0.0
35,A2C,SA,2,64,91.2039566040039,88.57758229163693,62.23187531306538,100.0,4.470994096467162,9.222141426587882,1.0,0.7319111603498459,0.00014504417855759432,0.9983096122741699,0.9192096353173256,2.752280072539932e-05,0.04158790170132326,0.0
40,A2C,SA,2,64,91.0927963256836,88.43535721391395,62.144048325052914,100.0,4.376329191382798,9.229579110451056,1.0,0.7302031212151051,0.00015317377724668142,0.9980341792106628,0.9176716252863407,2.485492787492287e-05,0.0,0.0
45,A2C,SA,2,64,91.10975646972656,88.45044006364814,61.88869489114755,100.0,4.414633501688766,9.393021642892336,1.0,0.7303251394927501,0.0001506891713729909,0.9983088374137878,0.9179675329327583,2.932831393878544e-05,0.0014970026231262174,0.0
50,A2C,SA,2,64,87.29275512695312,84.64690229262429,60.191436103581985,100.0,4.9097882986500645,7.658898157866174,1.0,0.8908102306127548,0.0005699745132883873,0.9983078837394714,0.8793391338586807,8.520784788268401e-05,0.24996697053771963,0.0
5,DDQN,SA,2,64,77.7451400756836,74.97501455885597,43.980689043082236,100.0,2.7731397898122108,6.528459751898974,1.0,0.9138001956343651,0.00010084623506432361,0.9980329275131226,0.7927725487649441,0.0005036995721899362,0.4955937823192353,0.2181507946676337
10,DDQN,SA,2,64,89.63441467285156,83.09751933267985,169.03925252541714,100.0,3.9032606199078415,9.870321891913838,1.0,0.7475302040874958,0.00027002421669828464,0.9980331063270569,0.918538633286953,2.9130170108359626e-05,0.37841399140509707,0.1320659010824423
15,DDQN,SA,2,64,84.33272552490234,81.78578374434686,70.87071450200229,100.0,3.5615847506250877,7.187750503632795,1.0,0.8993296435773372,3.059371741695781e-05,0.9980329275131226,0.8948997531235218,4.532329074805158e-05,0.5432411230666526,0.6457630754837475
20,DDQN,SA,2,64,53.22093963623047,48.54353898061726,32.2253525172764,4.2133073806762695,1.723107975846279,23.22581191142996,1.0,0.8606740529537201,0.0010548281746528756,0.998033881187439,0.9116663699150085,0.0001597878228726953,0.6796705989219166,0.2917119852112143
25,DDQN,SA,2,64,56.53097915649414,46.45555994753352,41.95939212029315,4.367795467376709,2.3612506215324895,22.10632127141005,1.0,0.9208927661180496,6.0139660165004824e-05,0.9980329871177673,0.8893850144147873,0.00033562170755775596,0.6319178011242983,0.3282297680088924
30,DDQN,SA,2,64,85.18984985351562,80.92107436014734,92.84831299479968,100.0,3.9117280726862336,7.638278324292465,1.0,0.8919933338165283,2.741880951875606e-05,0.9980323910713196,0.9041677713990212,7.159174824514024e-05,0.6461566817790505,0.23903840183856098
35,DDQN,SA,2,64,74.74857330322266,62.751327645713125,127.20641688923398,100.0,3.2045137235473122,6.791649344958939,1.0,0.9074713476300239,4.8837828597665945e-05,0.9983096718788147,0.8968528669774533,7.378563923027979e-05,0.2539704660413421,0.3212291905022003
40,DDQN,SA,2,64,44.370635986328125,32.862935165207304,16.07526711737321,4.504480361938477,2.3755336478203835,21.846942963260588,1.0,0.9197111303806305,7.66174182842389e-05,0.9980327486991882,0.9215996004343033,0.00012924432445841972,0.25391133899864937,0.4107473675403683
45,DDQN,SA,2,64,23.73091697692871,20.4757268738128,0.4913733254022781,2.8166286945343018,-0.37371350635129386,22.04381486195444,1.0,0.6523445342779159,0.002392560635500363,0.9980328679084778,0.9254633492231369,8.5872368719755e-05,0.2303895203604767,0.685415595953801
50,DDQN,SA,2,64,32.95633316040039,31.787347719340982,4.175729340459913,3.1322758197784424,2.2240654595954688,21.772339509121807,1.0,0.9196052626371384,8.805396346274863e-05,0.9980323910713196,0.9130843192338943,0.00010884653657428878,0.3577595308385225,0.3805403165724439
5,PPO,SA,2,64,91.12852478027344,88.49400346413783,62.09152014395955,100.0,4.382104446922523,9.262269332744877,1.0,0.7418655705451965,0.0002182218037666125,0.998030960559845,0.9183434503376484,2.5991091843774287e-05,0.062482002377122293,0.0
10,PPO,SA,2,64,91.07854461669922,88.44758244075518,61.64040048798776,100.0,4.339933235233632,9.287773010324129,1.0,0.7302750091254712,0.00014871407538890385,0.9980331659317017,0.917792651116848,2.6224970784353012e-05,0.0,0.0
15,PPO,SA,2,64,91.20643615722656,88.49719151016,62.804898672437034,100.0,4.384122218149177,9.252258626501991,1.0,0.7305643806159496,0.00016249652399759234,0.997647225856781,0.9179817657768726,1.898099538376282e-05,0.0,0.0
20,PPO,SA,2,64,91.08252716064453,88.03551731033363,72.92356115507242,100.0,4.3905427000452315,9.172984127788883,1.0,0.7400317422151566,0.00011786732646314489,0.9983091354370117,0.9187094660401345,2.6802358401779685e-05,0.15933912104417552,0.15933912104417552
25,PPO,SA,2,64,91.04157257080078,87.8332913340121,80.46915763479623,100.0,4.426557153463364,9.127014617657695,1.0,0.7434127647280693,0.0001493548773987109,0.9980325102806091,0.9195618104636669,2.7052644950946173e-05,0.15197248951736025,0.15197248951736025
30,PPO,SA,2,64,91.0237045288086,87.76503897737945,79.40821763429594,100.0,4.380044331168127,9.274495498646472,1.0,0.7407001661658287,0.00014814252125911392,0.9980331659317017,0.9185909730195999,2.6022270579997196e-05,0.10857739546019093,0.10857739546019093
35,PPO,SA,2,64,91.14432525634766,88.53146210221992,61.81209593092084,100.0,4.402943116390723,9.208740393655779,1.0,0.7309235258102417,0.00014937182891099573,0.9983105063438416,0.9187656565606594,2.911462994040724e-05,0.0,0.0
40,PPO,SA,2,64,91.10242462158203,88.4044084615674,62.66474237709125,100.0,4.436422260581464,9.205446044462036,1.0,0.7319185881912709,0.00016635200105387949,0.9980328679084778,0.9172115260660648,2.1953327768558884e-05,0.10288309118803918,0.10288309118803916
45,PPO,SA,2,64,91.12739562988281,88.44358633471273,61.825769052036385,100.0,4.369475108915302,9.33186433569896,1.0,0.7303134483397007,0.00014859171937030568,0.9980332851409912,0.9177890373766422,2.741944435376629e-05,0.0,0.0
50,PPO,SA,2,64,91.20687866210938,88.59829381964673,61.840549765603726,100.0,4.439458970187129,9.124268161870013,1.0,0.731432119578123,0.00015123192983244692,0.9980315566062927,0.9192762083411217,2.567287405886588e-05,0.0,0.0
5,A2C,SA,2,128,28.922651290893555,28.60044788314911,1.792521246572965,3.287297487258911,0.03221689925904101,20.70670863668252,1.0,0.9213527208566665,5.8895137173855605e-05,0.9983094334602356,0.3738271002173424,0.016761094613278592,0.8259728048892238,0.0
10,A2C,SA,2,128,91.13228607177734,88.43429304205853,62.81556893922017,100.0,4.392178682328343,9.254695024157378,1.0,0.7478920603692532,0.0003293123330509927,0.9980336427688599,0.9175725612342358,2.4111299295425046e-05,0.16603442406732666,0.0
15,A2C,SA,2,128,90.82232666015625,87.1975521500381,83.93878993087921,100.0,4.54028521187004,8.804558609326225,1.0,0.8081935574710369,0.0005775596794591347,0.9983089566230774,0.9020775072872639,0.0005806017597629455,0.6574843512776347,0.0
20,A2C,SA,2,128,28.90012550354004,28.624167331916368,1.8509272264436643,3.274139165878296,0.01226515483627925,20.65283977403488,1.0,0.9221537991762161,5.867229812439705e-05,0.9980329275131226,0.3736431239247322,0.01651995615871078,0.8018772833574368,0.0
25,A2C,SA,2,128,78.18368530273438,74.2438616979009,65.44848239041772,100.0,2.781582029609904,6.5086656989627105,1.0,0.9169135229587555,1.4890788094916786e-05,0.9980323910713196,0.7716676842272282,0.0007825655354753151,0.5980562941917347,0.0
30,A2C,SA,2,128,76.19723510742188,73.7532248170539,44.75329147804714,100.0,2.687401594235741,6.4299868370519615,1.0,0.9175380278527737,1.6337089796273783e-05,0.9980313777923584,0.7676518780589103,0.0002809830756447636,0.6565323035633606,0.0
35,A2C,SA,2,128,74.53562927246094,69.86014093773655,70.13649301610276,100.0,2.491948554436604,6.456378850032178,1.0,0.9186361514031887,1.4535615637387146e-05,0.9983087778091431,0.7272738787531853,0.0014297535595378754,0.6552425935957559,0.0
40,A2C,SA,2,128,45.80226135253906,41.41770824843538,26.46533731760502,3.7437996864318848,0.8087391962401883,21.33842246358816,1.0,0.9218262560367584,5.700168286757565e-05,0.9980328679084778,0.5132498863935471,0.0086531448015114,0.24983167397739448,0.24983167397739448
45,A2C,SA,2,128,71.72234344482422,65.93979933927918,88.91691196248514,100.0,2.3246239279022163,6.550260594452117,1.0,0.919410472214222,1.4667926972271683e-05,0.9980344772338867,0.6905146922469139,0.002821616383032156,0.6940577687168409,0.19447747390672482
50,A2C,SA,2,128,44.35436248779297,39.81786269342114,30.5023142497395,3.652859926223755,0.782096753975257,21.370367099074517,1.0,0.920169709444046,6.134578220675456e-05,0.9983090162277222,0.5475021002292633,0.006917999870770103,0.2619750518922236,0.40805415117868055
